verb_fr	verb_de	noun_fr	noun_de
indemniser	entschädigen	la victime	das Opfer
indemniser	entschädigen	le dommage	der Schaden
indigner	empören	l'opinion	die Meinung
indigner	empören	la situation	die Situation
indigner	empören	le public	das Publikum
indiquer	anzeigen	l'adresse	die Adresse
indiquer	anzeigen	l'information	die Information
indiquer	anzeigen	la direction	die Richtung
individualiser	individualisieren	l'approche	der Ansatz
individualiser	individualisieren	le produit	das Produkt
individualiser	individualisieren	le service	der Dienst
induire	induzieren	l'erreur	der Fehler
induire	induzieren	la réaction	die Reaktion
induire	induzieren	un changement	die Veränderung
industrialiser	industrializieren	l'économie	die Wirtschaft
industrialiser	industrializieren	le processus	der Prozess
industrialiser	industrializieren	le secteur	der Sektor
indéterminer	unbestimmen	la quantité	die Menge
indéterminer	unbestimmen	la situation	die Situation
indéterminer	unbestimmen	la valeur	der Wert
infecter	infizieren	la bactérie	die Bakterie
infecter	infizieren	le virus	das Virus
infester	befallen	le virus	das Virus
infiltrer	infiltrieren	le groupe	der Gruppe
infiltrer	infiltrieren	le système	das System
infliger	zufügen	la peine	der Schmerz
infliger	zufügen	la sanction	die Sanktion
influencer	beeinflussen	l'opinion	die Meinung
influencer	beeinflussen	la décision	die Entscheidung
influencer	beeinflussen	le comportement	das Verhalten
influer	einwirken	la décision	die Entscheidung
influer	einwirken	la situation	die Situation
influer	einwirken	le facteur	der Faktor
informatiser	digitalisieren	le processus	der Prozess
informatiser	digitalisieren	le système	das System
informer	informieren	la personne	die Person
informer	informieren	le collègue	der Kollege
informer	informieren	le public	das Publikum
infuser	infundieren	le thé	der Tee
inhaler	inhalieren	l'air	die Luft
inhaler	inhalieren	la vapeur	der Dampf
inhaler	inhalieren	le médicament	das Medikament
inhiber	hemmen	la croissance	das Wachstum
inhiber	hemmen	la réaction	die Reaktion
inhiber	hemmen	le développement	die Entwicklung
initier	einführen	le processus	der Prozess
initier	einführen	le projet	das Projekt
injecter	injizieren	le médicament	das Medikament
injecter	injizieren	le vaccin	der Impfstoff
injurier	beleidigen	l'adversaire	der Gegner
injurier	beleidigen	l'ami	der Freund
injurier	beleidigen	la personne	die Person
innerver	beeinflussen	l'organe	das Organ
innerver	beeinflussen	le muscle	der Muskel
innerver	beeinflussen	le système	das System
innover	innovieren	l'idée	die Idee
innover	innovieren	la technologie	die Technologie
innover	innovieren	le produit	das Produkt
inonder	überfluten	la chambre	das Zimmer
inonder	überfluten	la rue	die Straße
inonder	überfluten	le champ	das Feld
inquiéter	beunruhigen	l'environnement	die Umwelt
inquiéter	beunruhigen	la personne	die Person
inquiéter	beunruhigen	la situation	die Situation
inscrire	einschreiben	l'étudiant	der Student
inscrire	einschreiben	le nom	der Name
insinuer	andeuten	l'idée	die Idee
insinuer	andeuten	le commentaire	der Kommentar
insinuer	andeuten	le sous-entendu	das Unterlassen
insister	bestehen	la demande	die Anfrage
insister	bestehen	la situation	die Situation
insister	bestehen	le point	der Punkt
inspecter	inspizieren	l'endroit	der Ort
inspecter	inspizieren	l'objet	der Gegenstand
inspecter	inspizieren	le document	das Dokument
inspirer	inspirieren	l'artiste	der Künstler
inspirer	inspirieren	l'idée	die Idee
inspirer	inspirieren	la création	die Schaffung
installer	installieren	l'appareil	das Gerät
installer	installieren	le logiciel	die Software
installer	installieren	le meuble	das Möbel
instaurer	einführen	la loi	das Gesetz
instaurer	einführen	la règle	die Regel
instaurer	einführen	le système	das System
instituer	einführen	la loi	das Gesetz
instituer	einführen	la règle	die Regel
instituer	einführen	le système	das System
institutionnaliser	institutionalisieren	la pratique	die Praxis
institutionnaliser	institutionalisieren	le processus	der Prozess
institutionnaliser	institutionalisieren	le système	das System
instruire	unterrichten	l'élève	der Schüler
instruire	unterrichten	le sujet	das Thema
instrumentaliser	instrumentalisieren	l'événement	das Ereignis
instrumentaliser	instrumentalisieren	la ressource	die Ressource
instrumentaliser	instrumentalisieren	la situation	die Situation
insulter	beleidigen	l'ami	der Freund
insulter	beleidigen	la personne	die Person
insulter	beleidigen	le collègue	der Kollege
insupporter	unerträglich sein	la situation	die Situation
insupporter	unerträglich sein	le bruit	der Lärm
insupporter	unerträglich sein	le comportement	das Verhalten
insérer	einfügen	l'image	das Bild
insérer	einfügen	l'élément	das Element
insérer	einfügen	le texte	der Text
intensifier	intensivieren	l'effort	der Aufwand
intensifier	intensivieren	la couleur	die Farbe
intensifier	intensivieren	le sentiment	das Gefühl
intenter	einleiten	l'action	die Handlung
intenter	einleiten	la demande	die Anfrage
intenter	einleiten	le procès	der Prozess
interagir	interagieren	l'environnement	die Umwelt
interagir	interagieren	la personne	die Person
interagir	interagieren	la situation	die Situation
intercéder	intervenieren	la demande	die Anfrage
intercéder	intervenieren	la situation	die Situation
intercéder	intervenieren	le conflit	der Konflikt
interdire	verbieten	l'accès	der Zugang
interdire	verbieten	l'activité	die Aktivität
interdire	verbieten	l'usage	der Gebrauch
interférer	interferieren	la communication	die Kommunikation
interférer	interferieren	le signal	das Signal
interférer	interferieren	le système	das System
interloquer	verwirren	l'audience	die Zuhörerschaft
interloquer	verwirren	l'élève	der Schüler
interloquer	verwirren	le spectateur	der Zuschauer
internationaliser	internationalisieren	l'entreprise	die Firma
internationaliser	internationalisieren	le marché	der Markt
interner	internieren	la personne	die Person
interner	internieren	la population	die Bevölkerung
interner	internieren	le groupe	der Gruppe
interpeller	ansprechen	l'enfant	das Kind
interpeller	ansprechen	la personne	die Person
interpeller	ansprechen	le passant	der Passant
interpoler	einfügen	l'information	die Information
interpoler	einfügen	le texte	der Text
interpréter	interpretieren	la musique	die Musik
interpréter	interpretieren	le rôle	die Rolle
interpréter	interpretieren	le texte	der Text
interroger	befragen	l'élève	der Schüler
interroger	befragen	la personne	die Person
interroger	befragen	le sujet	das Thema
interrompre	unterbrechen	la conversation	das Gespräch
interrompre	unterbrechen	le travail	die Arbeit
intervenir	eingreifen	la situation	die Situation
intervenir	eingreifen	le conflit	der Konflikt
intervenir	eingreifen	le problème	das Problem
interviewer	interviewen	l'expert	der Experte
interviewer	interviewen	la personne	die Person
interviewer	interviewen	le candidat	der Kandidat
intimider	einschüchtern	l'adversaire	der Gegner
intimider	einschüchtern	l'enfant	das Kind
intimider	einschüchtern	la personne	die Person
intituler	betiteln	l'article	der Artikel
intituler	betiteln	l'œuvre	das Werk
intituler	betiteln	le livre	das Buch
intoxiquer	vergiften	l'environnement	die Umwelt
intoxiquer	vergiften	la personne	die Person
intriguer	intrigieren	l'audience	die Zuhörerschaft
intriguer	intrigieren	la personne	die Person
intriguer	intrigieren	le public	das Publikum
introduire	einführen	l'idée	die Idee
introduire	einführen	le produit	das Produkt
introduire	einführen	un changement	die Veränderung
intégrer	integrieren	l'élément	das Element
intégrer	integrieren	le groupe	der Gruppe
intégrer	integrieren	le système	das System
intéresser	interessieren	l'activité	die Aktivität
intéresser	interessieren	la personne	die Person
intéresser	interessieren	le sujet	das Thema
inventer	erfinden	l'histoire	die Geschichte
inventer	erfinden	l'idée	die Idee
inventer	erfinden	l'objet	der Gegenstand
inverser	umkehren	l'ordre	die Ordnung
inverser	umkehren	la situation	die Situation
inverser	umkehren	la tendance	der Trend
investir	investieren	l'argent	das Geld
investir	investieren	temps	die Zeit
inviter	einladen	l'ami	der Freund
inviter	einladen	la personne	die Person
inviter	einladen	le groupe	der Gruppe
invoquer	anrufen	l'aide	die Hilfe
invoquer	anrufen	l'esprit	der Geist
invoquer	anrufen	le soutien	die Unterstützung
ironiser	ironisieren	la situation	die Situation
ironiser	ironisieren	le commentaire	der Kommentar
ironiser	ironisieren	le discours	die Rede
irriguer	bewässern	la plantation	die Plantage
irriguer	bewässern	le champ	das Feld
irriguer	bewässern	le jardin	der Garten
irriter	ärgern	l'enfant	das Kind
irriter	ärgern	la personne	die Person
irriter	ärgern	la situation	die Situation
isoler	isolieren	la chambre	das Zimmer
isoler	isolieren	la personne	die Person
isoler	isolieren	la zone	die Zone
jardiner	gärtnern	la fleur	die Blume
jardiner	gärtnern	la plante	die Pflanze
jardiner	gärtnern	le légume	das Gemüse
jaser	plaudern	la conversation	das Gespräch
jaser	plaudern	la personne	die Person
jaser	plaudern	le sujet	das Thema
jaunir	gelb werden	la feuille	das Blatt
jaunir	gelb werden	le papier	das Papier
jaunir	gelb werden	le vêtement	das Kleidungsstück
jeter	werfen	la pierre	der Stein
jeter	werfen	le ballon	der Ball
jeter	werfen	le déchet	der Abfall
jeûner	fasten	l'alimentation	die Ernährung
jeûner	fasten	le repas	die Mahlzeit
jeûner	fasten	temps	die Zeit
jogger	joggen	l'équipement	die Ausrüstung
jogger	joggen	la route	die Straße
jogger	joggen	le parc	der Park
joindre	beigefügen	la photo	das Foto
joindre	beigefügen	le document	das Dokument
joindre	beigefügen	le message	die Nachricht
jouer	spielen	de la musique	die Musik
jouer	spielen	au jeu	das Spiel
jouer	spielen	au sport	der Sport
jouir	genießen	le moment	der Moment
jouir	genießen	le plaisir	das Vergnügen
jouxter	angrenzen	la propriété	das Eigentum
jouxter	angrenzen	le bâtiment	das Gebäude
jouxter	angrenzen	le terrain	das Gelände
jucher	setzen	l'enfant	das Kind
jucher	setzen	l'objet	der Gegenstand
jucher	setzen	l'oiseau	der Vogel
juger	urteilen	la personne	die Person
juger	urteilen	la situation	die Situation
juger	urteilen	le cas	der Fall
jurer	schwören	la loi	das Gesetz
jurer	schwören	la promesse	das Versprechen
jurer	schwören	le serment	der Eid
justifier	rechtfertigen	l'action	die Handlung
justifier	rechtfertigen	la décision	die Entscheidung
justifier	rechtfertigen	le comportement	das Verhalten
lacérer	zerreißen	le document	das Dokument
lacérer	zerreißen	le papier	das Papier
lacérer	zerreißen	le tissu	der Stoff
laisser	lassen	l'espace	der Raum
laisser	lassen	le choix	die Wahl
laisser	lassen	le message	die Nachricht
laminer	laminieren	la feuille	das Blatt
laminer	laminieren	le matériau	das Material
laminer	laminieren	le produit	das Produkt
lancer	werfen	l'idée	die Idee
lancer	werfen	la balle	der Ball
lancer	werfen	le projet	das Projekt
languir	verwelken	la fleur	die Blume
languir	verwelken	la plante	die Pflanze
languir	verwelken	la saison	die Saison
laquer	lackieren	l'objet	der Gegenstand
laquer	lackieren	la surface	die Oberfläche
laquer	lackieren	le meuble	das Möbel
lasser	ermüden	l'esprit	der Geist
lasser	ermüden	la personne	die Person
lasser	ermüden	le corps	der Körper
laver	waschen	la vaisselle	das Geschirr
laver	waschen	la voiture	das Auto
lettrer	buchstabieren	l'adresse	die Adresse
lettrer	buchstabieren	le mot	das Wort
lettrer	buchstabieren	le nom	der Name
lever	heben	l'objet	der Gegenstand
lever	heben	la main	die Hand
lever	heben	la voix	die Stimme
libérer	befreien	l'animal	das Tier
libérer	befreien	l'esclave	der Sklave
libérer	befreien	l'esprit	der Geist
licencier	entlassen	l'employé	der Angestellte
licencier	entlassen	le travailleur	der Arbeiter
lier	verbinden	l'idée	die Idee
lier	verbinden	la personne	die Person
lier	verbinden	le document	das Dokument
limiter	begrenzen	l'accès	der Zugang
limiter	begrenzen	temps	die Zeit
liquider	liquidieren	l'entreprise	die Firma
liquider	liquidieren	le stock	der Bestand
liquéfier	verflüssigen	la matière	das Material
liquéfier	verflüssigen	la substance	die Substanz
liquéfier	verflüssigen	le gaz	das Gas
lire	lesen	l'article	der Artikel
lire	lesen	le journal	die Zeitung
lire	lesen	le livre	das Buch
liser	lesen	l'article	der Artikel
liser	lesen	le livre	das Buch
liser	lesen	le texte	der Text
littératurer	literaturisieren	l'écriture	das Schreiben
littératurer	literaturisieren	l'œuvre	das Werk
littératurer	literaturisieren	le texte	der Text
livrer	liefern	l'information	die Information
livrer	liefern	la marchandise	die Ware
livrer	liefern	le colis	das Paket
localiser	lokalisieren	l'endroit	der Ort
localiser	lokalisieren	l'objet	der Gegenstand
localiser	lokalisieren	la personne	die Person
loger	unterbringen	l'invité	der Gast
loger	unterbringen	l'étudiant	der Student
loger	unterbringen	la famille	die Familie
longer	entlanggehen	la plage	der Strand
longer	entlanggehen	la rivière	der Fluss
longer	entlanggehen	la route	die Straße
lorgner	linsen	l'objet	der Gegenstand
lorgner	linsen	la cible	das Ziel
lorgner	linsen	la personne	die Person
louer	mieten	l'appartement	die Wohnung
louer	mieten	la maison	das Haus
louer	mieten	la voiture	das Auto
luire	leuchten	l'étoile	der Stern
luire	leuchten	la lumière	das Licht
luire	leuchten	le soleil	die Sonne
lutter	kämpfen	la cause	die Ursache
lutter	kämpfen	le droit	das Recht
lutter	kämpfen	le problème	das Problem
lâcher	loslassen	l'objet	der Gegenstand
lâcher	loslassen	la main	die Hand
lâcher	loslassen	la pression	der Druck
légaliser	legalisieren	la pratique	die Praxis
légaliser	legalisieren	la situation	die Situation
légaliser	legalisieren	la substance	die Substanz
légiférer	gesetzgebend	la loi	das Gesetz
légiférer	gesetzgebend	le règlement	die Regelung
légiférer	gesetzgebend	le texte	der Text
légitimer	legitimieren	l'action	die Handlung
légitimer	legitimieren	la décision	die Entscheidung
légitimer	legitimieren	le processus	der Prozess
léguer	vererben	l'héritage	das Erbe
léser	verletzen	l'intérêt	das Interesse
léser	verletzen	la personne	die Person
léser	verletzen	le droit	das Recht
maigrir	abnehmen	la silhouette	die Silhouette
maigrir	abnehmen	le poids	das Gewicht
maigrir	abnehmen	le régime	die Diät
maintenir	beibehalten	l'ordre	die Ordnung
maintenir	beibehalten	la relation	die Beziehung
maintenir	beibehalten	la situation	die Situation
malmener	schikanieren	l'animal	das Tier
malmener	schikanieren	l'enfant	das Kind
malmener	schikanieren	le collègue	der Kollege
maltraiter	misshandeln	l'animal	das Tier
maltraiter	misshandeln	l'enfant	das Kind
maltraiter	misshandeln	la personne	die Person
manger	essen	le gâteau	der Kuchen
manger	essen	le pain	das Brot
manger	essen	une pomme	der Apfel
manier	handhaben	l'information	die Information
manier	handhaben	la situation	die Situation
manier	handhaben	un outil	das Werkzeug
manifester	demonstrieren	l'opinion	die Meinung
manifester	demonstrieren	le soutien	die Unterstützung
manipuler	manipulieren	l'objet	der Gegenstand
manipuler	manipulieren	la machine	die Maschine
maniérer	manieren	la manière	die Art
maniérer	manieren	le comportement	das Verhalten
maniérer	manieren	le style	der Stil
manoeuvrer	manövrieren	la machine	die Maschine
manoeuvrer	manövrieren	le bateau	das Boot
manoeuvrer	manövrieren	le véhicule	das Fahrzeug
manquer	fehlen	l'occasion	die Gelegenheit
manquer	fehlen	de temps	die Zeit
maquiller	schminken	le visage	das Gesicht
marabouter	verzaubern	l'objet	der Gegenstand
marabouter	verzaubern	la personne	die Person
marabouter	verzaubern	le rituel	das Ritual
marcher	gehen	la route	die Straße
marcher	gehen	le chemin	der Weg
marger	margen	la vente	der Verkauf
marger	margen	le prix	der Preis
marger	margen	le produit	das Produkt
marginaliser	marginalisieren	l'individu	das Individuum
marginaliser	marginalisieren	la communauté	die Gemeinschaft
marginaliser	marginalisieren	le groupe	der Gruppe
marier	heiraten	la cérémonie	die Zeremonie
marier	heiraten	la personne	die Person
marier	heiraten	le partenaire	der Partner
marner	marner	l'argent	das Geld
marner	marner	l'effort	der Aufwand
marner	marner	temps	die Zeit
marquer	markieren	l'événement	das Ereignis
marquer	markieren	le moment	der Moment
marquer	markieren	le point	der Punkt
marrer	lachen	l'ami	der Freund
marrer	lachen	la blague	der Witz
marrer	lachen	la situation	die Situation
marteler	hämmern	la tôle	das Blech
marteler	hämmern	le clou	der Nagel
marteler	hämmern	le métal	das Metall
martyriser	quälen	l'animal	das Tier
martyriser	quälen	l'enfant	das Kind
martyriser	quälen	la personne	die Person
masquer	verstecken	l'identité	die Identität
masquer	verstecken	l'objet	der Gegenstand
masquer	verstecken	le visage	das Gesicht
massacrer	massakrieren	le groupe	der Gruppe
masser	massieren	la zone	die Zone
masser	massieren	le corps	der Körper
masser	massieren	le muscle	der Muskel
matir	meistern	la compétence	die Kompetenz
matir	meistern	le sujet	das Thema
matérialiser	verwirklichen	l'idée	die Idee
matérialiser	verwirklichen	le projet	das Projekt
matérialiser	verwirklichen	le rêve	der Traum
maudire	verfluchen	l'ennemi	der Feind
maudire	verfluchen	la situation	die Situation
maudire	verfluchen	le destin	das Schicksal
maîtriser	beherrschen	la compétence	die Kompetenz
maîtriser	beherrschen	la langue	die Sprache
maîtriser	beherrschen	le sujet	das Thema
menacer	bedrohen	l'environnement	die Umwelt
menacer	bedrohen	la personne	die Person
menacer	bedrohen	la sécurité	die Sicherheit
mendier	betteln	l'aide	die Hilfe
mendier	betteln	l'argent	das Geld
mendier	betteln	la nourriture	die Nahrung
mener	führen	l'équipe	die Mannschaft
mener	führen	la discussion	die Diskussion
mener	führen	le projet	das Projekt
mentionner	erwähnen	le détail	das Detail
mentionner	erwähnen	le nom	der Name
mentionner	erwähnen	le sujet	das Thema
mentir	lügen	l'histoire	die Geschichte
mentir	lügen	la situation	die Situation
mentir	lügen	la vérité	die Wahrheit
merder	verdammen	la relation	die Beziehung
merder	verdammen	la situation	die Situation
merder	verdammen	le projet	das Projekt
mesurer	messen	la largeur	die Breite
mesurer	messen	la longueur	die Länge
mesurer	messen	le poids	das Gewicht
mettre	setzen	l'objet	der Gegenstand
mettre	setzen	le livre	das Buch
mettre	setzen	le vêtement	das Kleidungsstück
meubler	möblieren	la chambre	das Zimmer
meubler	möblieren	la maison	das Haus
meubler	möblieren	le bureau	das Büro
miauler	miauen	l'animal	das Tier
miauler	miauen	le chat	die Katze
militer	kämpfen	la cause	die Ursache
militer	kämpfen	le parti	die Partei
millésimer	jahrgangsbestimmen	la bouteille	die Flasche
millésimer	jahrgangsbestimmen	la réserve	die Reserve
millésimer	jahrgangsbestimmen	le vin	der Wein
miner	untergraben	la structure	die Struktur
miner	untergraben	le sol	der Boden
miner	untergraben	le terrain	das Gelände
minimiser	minimieren	l'impact	der Einfluss
minimiser	minimieren	le problème	das Problem
minimiser	minimieren	le risque	das Risiko
miroiter	spiegeln	l'image	das Bild
miroiter	spiegeln	la lumière	das Licht
miroiter	spiegeln	la surface	die Oberfläche
miser	setzen	l'argent	das Geld
miser	setzen	l'espoir	die Hoffnung
miser	setzen	temps	die Zeit
mitiger	mildern	l'effet	der Effekt
mitiger	mildern	l'impact	der Einfluss
mitiger	mildern	le risque	das Risiko
mixer	mixen	la boisson	das Getränk
mixer	mixen	la pâte	der Teig
mobiliser	mobilisieren	l'équipe	die Mannschaft
mobiliser	mobilisieren	le soutien	die Unterstützung
moderniser	modernisieren	l'infrastructure	die Infrastruktur
moderniser	modernisieren	l'équipement	die Ausrüstung
moderniser	modernisieren	le système	das System
modifier	ändern	le comportement	das Verhalten
modifier	ändern	le document	das Dokument
modifier	ändern	le plan	der Plan
modérer	mäßigen	la discussion	die Diskussion
modérer	mäßigen	le comportement	das Verhalten
modérer	mäßigen	le débat	die Debatte
moisir	schimmeln	la nourriture	die Nahrung
moisir	schimmeln	le fromage	der Käse
moisir	schimmeln	le pain	das Brot
mollir	weich werden	la pâte	der Teig
mollir	weich werden	le beurre	die Butter
mollir	weich werden	le ciment	der Zement
momifier	mumifizieren	l'animal	das Tier
momifier	mumifizieren	l'objet	der Gegenstand
momifier	mumifizieren	le corps	der Körper
mondialiser	globalisieren	l'économie	die Wirtschaft
mondialiser	globalisieren	la culture	die Kultur
mondialiser	globalisieren	le marché	der Markt
monnayer	wechseln	le produit	das Produkt
monnayer	wechseln	le service	der Dienst
monopoliser	monopolisieren	la ressource	die Ressource
monopoliser	monopolisieren	le marché	der Markt
monopoliser	monopolisieren	le secteur	der Sektor
monter	steigen	le cheval	das Pferd
monter	steigen	le vélo	das Fahrrad
montrer	zeigen	l'exemple	das Beispiel
montrer	zeigen	l'image	das Bild
montrer	zeigen	le chemin	der Weg
mordre	beißen	la main	die Hand
mordre	beißen	la nourriture	die Nahrung
mordre	beißen	le chien	der Hund
motiver	motivieren	l'enfant	das Kind
motiver	motivieren	l'équipe	die Mannschaft
motiver	motivieren	la personne	die Person
motoriser	motorisieren	l'équipement	die Ausrüstung
motoriser	motorisieren	la machine	die Maschine
motoriser	motorisieren	le véhicule	das Fahrzeug
moucher	schnäuzen	le mouchoir	das Taschentuch
moucher	schnäuzen	le nez	die Nase
moucher	schnäuzen	le tissu	der Stoff
mouiller	nass machen	la main	die Hand
mouiller	nass machen	le sol	der Boden
mourir	sterben	l'animal	das Tier
mourir	sterben	la personne	die Person
mourir	sterben	la plante	die Pflanze
mousser	schaumen	la bière	die Bier
mousser	schaumen	le savon	die Seife
moutarder	senfartig machen	la préparation	die Vorbereitung
moutarder	senfartig machen	la sauce	die Soße
moutarder	senfartig machen	le plat	das Gericht
mouvementer	bewegen	l'objet	der Gegenstand
mouvementer	bewegen	l'équipe	die Mannschaft
mouvementer	bewegen	la personne	die Person
mouver	bewegen	l'objet	der Gegenstand
mouver	bewegen	la machine	die Maschine
mouver	bewegen	la personne	die Person
mouvoir	bewegen	l'objet	der Gegenstand
mouvoir	bewegen	la machine	die Maschine
mouvoir	bewegen	le corps	der Körper
moyenner	mitteln	la note	die Note
moyenner	mitteln	le prix	der Preis
moyenner	mitteln	temps	die Zeit
mueren	sich häuten	l'animal	das Tier
mueren	sich häuten	la peau	die Haut
mueren	sich häuten	la phase	die Phase
mugir	muhen	l'animal	das Tier
mugir	muhen	la vache	die Kuh
mugir	muhen	le bétail	das Vieh
multiplier	multiplizieren	l'effort	der Aufwand
multiplier	multiplizieren	la ressource	die Ressource
multiplier	multiplizieren	le nombre	die Zahl
munir	ausstatten	l'équipe	die Mannschaft
munir	ausstatten	la personne	die Person
munir	ausstatten	un outil	das Werkzeug
murmurer	murmel	la phrase	der Satz
murmurer	murmel	le mot	das Wort
murmurer	murmel	le secret	das Geheimnis
muscler	muskeln	le bras	der Arm
muscler	muskeln	le corps	der Körper
museler	mundtot machen	l'opinion	die Meinung
museler	mundtot machen	la personne	die Person
museler	mundtot machen	la voix	die Stimme
muser	träumen	l'idée	die Idee
muser	träumen	la pensée	der Gedanke
muser	träumen	le moment	der Moment
muter	mutieren	l'organisme	das Organismus
muter	mutieren	la cellule	die Zelle
muter	mutieren	le gène	das Gen
mutiler	verstümmeln	la main	die Hand
mutiler	verstümmeln	le corps	der Körper
mutiler	verstümmeln	le visage	das Gesicht
mâtiner	mischen	l'ingrédient	der Bestandteil
mâtiner	mischen	la couleur	die Farbe
mâtiner	mischen	la saveur	der Geschmack
mécher	anzünden	la bougie	die Kerze
mécher	anzünden	le feu	das Feuer
méconnaître	nicht erkennen	la personne	die Person
méconnaître	nicht erkennen	la situation	die Situation
méconnaître	nicht erkennen	le lieu	der Ort
médiatiser	mediatisieren	l'information	die Information
médiatiser	mediatisieren	l'événement	das Ereignis
médiatiser	mediatisieren	le sujet	das Thema
médire	verleumden	l'information	die Information
médire	verleumden	la personne	die Person
médire	verleumden	la réputation	der Ruf
méditer	meditieren	l'idée	die Idee
méditer	meditieren	la pensée	der Gedanke
méditer	meditieren	le sujet	das Thema
méfier	misstrauen	l'information	die Information
méfier	misstrauen	la personne	die Person
méfier	misstrauen	la situation	die Situation
mémoriser	merken	l'information	die Information
mémoriser	merken	le numéro	die Nummer
mémoriser	merken	le texte	der Text
méprendre	missverstehen	l'intention	die Absicht
méprendre	missverstehen	la situation	die Situation
méprendre	missverstehen	le message	die Nachricht
mépriser	verachten	l'idée	die Idee
mépriser	verachten	la personne	die Person
mépriser	verachten	le comportement	das Verhalten
mériter	verdienen	l'attention	die Aufmerksamkeit
mériter	verdienen	la récompense	die Belohnung
mériter	verdienen	le respect	der Respekt
métamorphoser	verwandeln	la situation	die Situation
métamorphoser	verwandeln	le personnage	die Figur
métamorphoser	verwandeln	un changement	die Veränderung
nager	schwimmen	la mer	das Meer
nager	schwimmen	la piscine	das Schwimmbad
nager	schwimmen	le lac	der See
nantir	ausstatten	la propriété	das Eigentum
nantir	ausstatten	la ressource	die Ressource
narcotiser	narkotisieren	la substance	die Substanz
narcotiser	narkotisieren	le médicament	das Medikament
narcotiser	narkotisieren	le patient	der Patient
natter	zöpfen	la tresse	der Zopf
natter	zöpfen	le style	der Stil
naturaliser	naturalizieren	l'animal	das Tier
naturaliser	naturalizieren	la plante	die Pflanze
naturaliser	naturalizieren	le citoyen	der Bürger
naviguer	navigieren	la mer	das Meer
naviguer	navigieren	le bateau	das Boot
naître	geboren werden	l'enfant	das Kind
naître	geboren werden	la famille	die Familie
naître	geboren werden	le bébé	das Baby
neiger	schneien	l'hiver	der Winter
neiger	schneien	la neige	der Schnee
nettoyer	reinigen	la fenêtre	das Fenster
nettoyer	reinigen	la maison	das Haus
nettoyer	reinigen	la table	der Tisch
nicher	nisten	l'animal	das Tier
nicher	nisten	l'habitat	das Habitat
nicher	nisten	l'oiseau	der Vogel
nier	leugnen	l'accusation	die Anklage
nier	leugnen	la responsabilité	die Verantwortung
nier	leugnen	le fait	die Tatsache
nimber	umgeben	l'espace	der Raum
nimber	umgeben	l'objet	der Gegenstand
nimber	umgeben	la personne	die Person
noircir	schwärzen	l'image	das Bild
noircir	schwärzen	la surface	die Oberfläche
noircir	schwärzen	le papier	das Papier
nommer	nennen	la chose	die Sache
nommer	nennen	la personne	die Person
nommer	nennen	le titre	der Titel
normer	normieren	la procédure	das Verfahren
normer	normieren	la règle	die Regel
normer	normieren	le standard	der Standard
noter	notieren	l'idée	die Idee
noter	notieren	l'information	die Information
noter	notieren	la note	die Note
notifier	benachrichtigen	l'événement	das Ereignis
notifier	benachrichtigen	le message	die Nachricht
notifier	benachrichtigen	un changement	die Veränderung
nouer	knoten	la corde	das Seil
nouer	knoten	le ruban	das Band
nourrir	ernähren	l'animal	das Tier
nourrir	ernähren	l'enfant	das Kind
nourrir	ernähren	la famille	die Familie
noyer	ertränken	l'animal	das Tier
noyer	ertränken	l'objet	der Gegenstand
noyer	ertränken	la personne	die Person
nuancer	nuancieren	l'argument	das Argument
nuancer	nuancieren	l'opinion	die Meinung
nuancer	nuancieren	la couleur	die Farbe
nuire	schaden	à l'environnement	die Umwelt
nuire	schaden	à la relation	die Beziehung
nuire	schaden	à la santé	die Gesundheit
numériser	digitalisieren	l'image	das Bild
numériser	digitalisieren	le document	das Dokument
numériser	digitalisieren	le fichier	die Datei
numéroter	nummerieren	la liste	die Liste
numéroter	nummerieren	la page	die Seite
numéroter	nummerieren	le document	das Dokument
nécessiter	benötigen	temps	die Zeit
négliger	vernachlässigen	la responsabilité	die Verantwortung
négliger	vernachlässigen	la santé	die Gesundheit
négliger	vernachlässigen	la tâche	die Aufgabe
négocier	verhandeln	l'accord	die Vereinbarung
négocier	verhandeln	le contrat	der Vertrag
négocier	verhandeln	le prix	der Preis
objecter	einwenden	l'argument	das Argument
objecter	einwenden	l'avis	die Meinung
objecter	einwenden	le point	der Punkt
obliger	verpflichten	la condition	die Bedingung
obliger	verpflichten	la personne	die Person
obliger	verpflichten	la situation	die Situation
observer	beobachten	la nature	die Natur
observer	beobachten	la scène	die Szene
observer	beobachten	le comportement	das Verhalten
obstiner	bestehen	l'opinion	die Meinung
obstiner	bestehen	la position	die Position
obstiner	bestehen	le choix	die Wahl
obstruer	verstopfen	la route	die Straße
obstruer	verstopfen	le passage	der Durchgang
obstruer	verstopfen	le tuyau	das Rohr
obséder	besessen	l'idée	die Idee
obséder	besessen	la pensée	der Gedanke
obtenir	erhalten	l'information	die Information
obtenir	erhalten	la réponse	die Antwort
obtenir	erhalten	le résultat	das Ergebnis
obéir	gehorchen	à l'ordre	die Ordnung
obéir	gehorchen	à la loi	das Gesetz
obéir	gehorchen	à la règle	die Regel
obérer	belasten	le budget	das Budget
obérer	belasten	le projet	das Projekt
occasionner	verursachen	le dommage	der Schaden
occasionner	verursachen	le problème	das Problem
occasionner	verursachen	le retard	die Verspätung
occulter	verdecken	l'information	die Information
occulter	verdecken	la vérité	die Wahrheit
occuper	besetzen	l'espace	der Raum
