sentence_fr	sentence_de	blank_word	distractors	verb_fr	noun_fr
Saisis la chance.	Ergreife die Chance.	la	une,de,le	saisir	la chance
Nous décalons la réunion.	Wir verschieben das Treffen.	la	une,de,le	décaler	la réunion
Ils combattent l'ennemi.	Sie kämpfen gegen den Feind.	l'	un,la,le	combattre	l'ennemi
L'espoir renaît.	Die Hoffnung wird wiedergeboren.	L'	un,la,le	renaître	l'espoir
Je joue la musique.	Ich spiele die Musik.	la	une,de,le	jouer	la musique
Le moment dure.	Der Moment dauert.	Le	Un,Au,De	durer	le moment
J'ai la voiture.	Ich habe das Auto.	la	une,de,le	avoir	la voiture
Il désordonne l'espace.	Er unordnen den Raum.	l'	un,la,le	désordonner	l'espace
Elle éveille une conscience.	Sie weckt ein Bewusstsein.	une	la,le,de	éveiller	une conscience
Il singularise le produit.	Er macht das Produkt einzigartig.	le	un,la,de	singulariser	le produit
Je déconnecte le câble.	Ich trenne das Kabel.	le	un,la,de	déconnecter	le câble
Nous abaissons le prix.	Wir senken den Preis.	le	un,la,de	abaisser	le prix
Je verse la sauce.	Ich gieße die Soße.	la	une,de,le	verser	la sauce
Il survit à l'accident.	Er überlebt den Unfall.	à	de,sur,avec	survivre	l'accident
Le pneu crisse sur la route.	Der Reifen kreischt auf der Straße.	sur	à,dans,avec	crisser	le pneu
Il confesse le secret à sa mère.	Er beichtet das Geheimnis seiner Mutter.	à	de,sur,avec	confesser	le secret
Elle espionne la cible dans le parc.	Sie spioniert das Ziel im Park.	dans	à,sur,avec	espionner	la cible
Je redonne le cadeau à mon ami.	Ich gebe das Geschenk meinem Freund zurück.	à	de,sur,avec	redonner	le cadeau
Il rabat le toit sur la voiture.	Er klappt das Dach auf das Auto um.	sur	à,dans,avec	rabattre	le toit
Nous débutons l'activité à midi.	Wir beginnen die Aktivität um Mittag.	à	de,sur,avec	débuter	l'activité
Je cuit la viande dans la casserole.	Ich koche das Fleisch im Topf.	dans	à,sur,avec	cuiter	la viande
Il obéit à la règle toujours.	Er gehorcht immer der Regel.	à	de,sur,avec	obéir	la règle
Elle affaiblit la santé de son père.	Sie schwächt die Gesundheit ihres Vaters.	de	à,sur,avec	affaiblir	la santé
Il détourne le regard de la vérité.	Er lenkt den Blick von der Wahrheit ab.	de	à,sur,avec	détourner	le regard
Je lève la main en classe.	Ich hebe die Hand im Unterricht.	en	à,sur,avec	lever	la main
Nous diversifions l'offre pour les clients.	Wir diversifizieren das Angebot für die Kunden.	pour	à,sur,avec	diversifier	l'offre
Il perce le mur avec un marteau.	Er durchdringt die Wand mit einem Hammer.	avec	à,sur,dans	percer	le mur
Elle faufile la personne dans la foule.	Sie schlüpft mit der Person in die Menge.	dans	à,sur,avec	faufiler	la personne
Il engloutit le livre en une nuit.	Er verschlingt das Buch in einer Nacht.	en	à,sur,avec	engloutir	le livre
Je lave la voiture chaque dimanche.	Ich wasche das Auto jeden Sonntag.	la	le,une,des	laver	la voiture
L'eau rejaillit de la source.	Das Wasser sprudelt aus der Quelle.	de	à,sur,avec	rejaillir	la source
Je lis le livre tous les jours.	Ich lese das Buch jeden Tag.	le	la,un,des	lire	le livre
Il pourfend l'ennemi avec courage.	Er zerschlägt den Feind mit Mut.	avec	à,sur,dans	pourfendre	l'ennemi
L'animal agonise dans le jardin.	Das Tier agonie im Garten.	dans	à,sur,avec	agoniser	l'animal
Il renverse le véhicule sur la route.	Er kippt das Fahrzeug auf der Straße um.	sur	à,dans,avec	renverser	le véhicule
Nous plébiscitons la candidature à l'élection.	Wir stimmen für die Bewerbung bei der Wahl ab.	à	de,sur,avec	plébisciter	la candidature
Ils confèrent le prix à l'artiste.	Sie verleihen den Preis an den Künstler.	à	de,sur,avec	conférer	le prix
L'image miroite dans l'eau.	Das Bild spiegelt sich im Wasser.	dans	à,sur,avec	miroiter	l'image
Elle imite la voix de son père.	Sie imitiert die Stimme ihres Vaters.	la	le,une,des	imiter	la voix
Je consacre du temps à mes amis.	Ich widme Zeit meinen Freunden.	à	de,sur,avec	consacrer	temps
J'abonne le magazine à ma sœur.	Ich abonniere das Magazin für meine Schwester.	à	de,sur,avec	abonner	le magazine
Il guide l'enfant dans le parc.	Er führt das Kind im Park.	dans	à,sur,avec	guider	l'enfant
Elle rapetisse le vêtement pour moi.	Sie verkleinert das Kleidungsstück für mich.	pour	à,sur,avec	rapetisser	le vêtement
Ils construisent la maison en bois.	Sie bauen das Haus aus Holz.	en	à,sur,avec	construire	la maison
J'essaie le vêtement.	Ich versuche das Kleidungsstück.	le	un,de,la	essayer	le vêtement
Il empêtre le tissu.	Er verwickelt den Stoff.	le	un,de,la	empêtrer	le tissu
Nous cherchons l'objet.	Wir suchen den Gegenstand.	l'	un,le,de	chercher	l'objet
Ils peuplent la région.	Sie bevölkern die Region.	la	une,de,le	peupler	la région
Elle muscle le corps.	Sie muskelt den Körper.	le	un,de,la	muscler	le corps
Je finis le travail.	Ich beende die Arbeit.	le	un,de,la	finir	le travail
Nous composons la chanson.	Wir komponieren das Lied.	la	une,de,le	composer	la chanson
Le bois crépite.	Das Holz knistert.	le	un,de,la	crépiter	le bois
Ils établissent la relation.	Sie richten die Beziehung ein.	la	une,de,le	établir	la relation
Elle traite le cas.	Sie behandelt den Fall.	le	un,de,la	traiter	le cas
Il désespère l'espoir.	Er verzweifelt an der Hoffnung.	l'	un,de,la	désespérer	l'espoir
Elle éperd la personne.	Sie verwirrt die Person.	la	une,de,le	éperdre	la personne
Il proclame la déclaration.	Er proklamiert die Erklärung.	la	une,de,le	proclamer	la déclaration
Nous normons la règle.	Wir normieren die Regel.	la	une,de,le	normer	la règle
Ils percent le mystère.	Sie durchdringen das Geheimnis.	le	un,de,la	percer	le mystère
Je révise le texte.	Ich überarbeite den Text.	le	un,de,la	réviser	le texte
Nous regardons le spectacle.	Wir sehen das Schauspiel.	le	un,de,la	regarder	le spectacle
Il décorne l'animal.	Er bricht das Tier ab.	l'	un,de,la	décorner	l'animal
Elle aromatise le plat.	Sie aromatisiert das Gericht.	le	un,de,la	aromatiser	le plat
Nous envoyons le paquet.	Wir senden das Paket.	le	un,de,la	envoyer	le paquet
Je présente la personne.	Ich stelle die Person vor.	la	une,de,le	présenter	la personne
Il aveugle la lumière.	Er blendet das Licht.	la	une,de,le	aveugler	la lumière
Nous soumettons le rapport.	Wir unterwerfen den Bericht.	le	un,de,la	soumettre	le rapport
Elle entrevoit la possibilité.	Sie ahnt die Möglichkeit.	la	une,de,le	entrevoir	la possibilité
Il acquitte le cas.	Er spricht den Fall frei.	le	un,de,la	acquitter	le cas
Je trouve l'ami.	Ich finde den Freund.	l'	un,de,la	trouver	l'ami
La situation subsiste.	Die Situation besteht.	la	une,de,le	subsister	la situation
Il basane le cuir.	Er gerbt das Leder.	le	un,de,la	basaner	le cuir
Elle parfait la compétence.	Sie vollendet die Kompetenz.	la	une,de,le	parfaire	la compétence
Nous épinglons le document.	Wir heften das Dokument an.	le	un,de,la	épingler	le document
Je percerai le secret.	Ich werde das Geheimnis durchdringen.	le	un,la,de	percer	le secret
Il raccroche l'appel.	Er legt den Anruf auf.	l'	un,le,de	raccrocher	l'appel
Elle embarrasse l'enfant.	Sie macht das Kind verlegen.	l'	un,le,de	embarrasser	l'enfant
Nous recevons la lettre.	Wir erhalten den Brief.	la	le,une,de	recevoir	la lettre
Ils désertent la mission.	Sie desertieren die Mission.	la	une,de,le	déserter	la mission
Je réserve le billet.	Ich reserviere das Ticket.	le	un,la,de	réserver	le billet
La lumière éblouit.	Das Licht blendet.	la	une,le,de	éblouir	la lumière
Il excuse le retard.	Er entschuldigt die Verspätung.	le	un,la,de	excuser	le retard
Nous merdons le projet.	Wir verdammen das Projekt.	le	un,la,de	merder	le projet
Ils institutionnalisent le processus.	Sie institutionalisieren den Prozess.	le	un,la,de	institutionnaliser	le processus
J'improvise la musique.	Ich improvisiere die Musik.	la	un,le,de	improviser	la musique
Il enclore la propriété.	Er schließt das Eigentum ein.	la	un,le,de	enclore	la propriété
Nous verrouillons le coffre.	Wir verriegeln die Truhe.	le	un,la,de	verrouiller	le coffre
Elle tend le muscle.	Sie dehnt den Muskel.	le	un,la,de	tendre	le muscle
Ils faillissent la mission.	Sie versagen bei der Mission.	la	un,le,de	faillir	la mission
Je recouds la couture.	Ich nähe die Schneiderei wieder.	la	un,le,de	recoudre	la couture
Je médite le sujet.	Ich meditiere über das Thema.	le	un,la,de	méditer	le sujet
Ils régissent la situation.	Sie regeln die Situation.	la	un,le,de	régir	la situation
La voiture trépide.	Das Auto zittert.	la	un,le,de	trépider	la voiture
Il cisèle la pierre.	Er meißelt den Stein.	la	un,le,de	ciseler	la pierre
Elle se plaint du problème.	Sie beklagt das Problem.	du	de,le,la	plaindre	le problème
Je regarde le film.	Ich sehe den Film.	le	un,la,de	regarder	le film
Ils tubent la culture.	Sie tubieren die Kultur.	la	un,le,de	tuber	la culture
Nous concluons la discussion.	Wir schließen die Diskussion ab.	la	un,le,de	conclure	la discussion
Il émet le signal.	Er strahlt das Signal aus.	le	un,la,de	émettre	le signal
Elle doue le musicien.	Sie begabt den Musiker.	le	un,la,de	douer	le musicien
Nous hissons le filet.	Wir hissen das Netz.	le	un,la,de	hisser	le filet
Je gomme le crayon.	Ich radiere den Bleistift.	le	un,la,de	gommer	le crayon
Ils encensent la réalisation.	Sie loben die Umsetzung.	la	un,le,de	encenser	la réalisation
Il correspond à l'attente.	Er entspricht der Erwartung.	à	de,pour,sur	correspondre	l'attente
Elle abrutit la personne.	Sie verblödet die Person.	la	une,de,dans	abrutir	la personne
Je crible la farine.	Ich siebe das Mehl.	la	une,de,dans	cribler	la farine
Nous rassemblons le groupe.	Wir versammeln die Gruppe.	le	un,de,dans	rassembler	le groupe
Il consigne l'information.	Er zeichnet die Information auf.	l'	de,la,une	consigner	l'information
J'aime la personne.	Ich liebe die Person.	la	une,de,dans	aimer	la personne
Il gueule à la personne.	Er schreit die Person an.	à	de,sur,avec	gueuler	la personne
Elle décrète la loi.	Sie dekretieren das Gesetz.	la	une,de,dans	décréter	la loi
Il étonne la personne.	Er überrascht die Person.	la	une,de,dans	étonner	la personne
Nous répercutons l'impact.	Wir widerhallen den Einfluss.	l'	de,le,une	répercuter	l'impact
Il omet l'information.	Er lässt die Information aus.	l'	de,la,une	omettre	l'information
Nous plaisantons sur la situation.	Wir spaßen über die Situation.	sur	à,de,avec	plaisanter	la situation
Il discrédite l'information.	Er diskreditiert die Information.	l'	de,la,une	discréditer	l'information
Je vois le film.	Ich sehe den Film.	le	un,de,la	voir	le film
Il s'arroge le droit.	Er maßt sich das Recht an.	le	un,de,la	arroger	le droit
Nous reprenons l'activité.	Wir nehmen die Aktivität wieder auf.	l'	une,de,la	reprendre	l'activité
Elle dévore la nourriture.	Sie verschlingt die Nahrung.	la	une,de,dans	dévorer	la nourriture
Il contrevient à la norme.	Er verstößt gegen die Norm.	à	de,sur,avec	contrevenir	la norme
Nous mitigons le risque.	Wir mildern das Risiko.	le	un,de,la	mitiger	le risque
Il détache la pièce.	Er löst das Stück.	la	une,de,dans	détacher	la pièce
Nous semons la culture.	Wir säen die Kultur.	la	une,de,dans	semer	la culture
Il revisite l'endroit.	Er besucht den Ort neu.	l'	un,de,la	revisiter	l'endroit
Elle manie le style.	Sie maniert den Stil.	le	un,de,la	maniérer	le style
Un problème émerge.	Ein Problem taucht auf.	Un	le,la,de	émerger	le problème
Nous couplons le dispositif.	Wir koppeln das Gerät.	le	un,de,la	coupler	le dispositif
Il ravage le territoire.	Er verwüstet das Gebiet.	le	un,de,la	ravager	le territoire
Elle métamorphose le personnage.	Sie verwandelt die Figur.	le	un,de,la	métamorphoser	le personnage
Le virus infeste l'ordinateur.	Der Virus befällt den Computer.	l'	un,de,la	infester	le virus
Je mets le livre.	Ich setze das Buch.	le	un,de,la	mettre	le livre
Nous internationalisons le marché.	Wir internationalisieren den Markt.	le	un,de,la	internationaliser	le marché
Il est une femme.	Er ist eine Frau.	une	la,le,des	être	femme
Je charge la valise.	Ich lade den Koffer.	la	une,du,de	charger	la valise
Il froisse le vêtement.	Er knittern das Kleidungsstück.	le	un,la,des	froisser	vêtement
La plante fleurit au printemps.	Die Pflanze blüht im Frühling.	au	en,dans,sur	fleurir	plante
Je fréquente un ami.	Ich besuche einen Freund.	un	le,la,des	fréquenter	ami
Il conforme la règle.	Er passt die Regel an.	la	une,des,du	conformer	règle
Nous bâclons le projet.	Wir machen das Projekt schlampig.	le	un,la,des	bâcler	projet
Elle houspille l'enfant.	Sie schimpft mit dem Kind.	l'	le,un,la	houspiller	enfant
Il flemmarde sur le canapé.	Er faulenzt auf dem Sofa.	sur	dans,avec,pour	flemmarder	canapé
Nous pérennisons la situation.	Wir machen die Situation dauerhaft.	la	une,des,du	pérenniser	situation
Je fendille le papier.	Ich ritze das Papier.	le	un,la,des	fendiller	papier
Il figure dans la liste.	Er figuriert in der Liste.	dans	sur,au,avec	figurer	liste
Je dois du temps.	Ich muss Zeit haben.	du	le,un,la	devoir	temps
Elle dirige l'équipe.	Sie leitet die Mannschaft.	l'	la,une,des	diriger	équipe
Ils couronnent le roi.	Sie krönen den König.	le	un,la,des	couronner	roi
Nous sortons du cinéma.	Wir gehen aus dem Kino.	du	le,la,un	sortir	cinéma
Il correspond au besoin.	Er entspricht dem Bedürfnis.	au	à,dans,pour	correspondre	besoin
Elle claque le doigt.	Sie knallt mit dem Finger.	le	un,la,des	claquer	doigt
Il agace l'enfant.	Er ärgert das Kind.	l'	le,un,la	agacer	enfant
Nous ciblons le marché.	Wir zielen auf den Markt.	le	un,la,des	cibler	marché
Il courtise une femme.	Er umwirbt eine Frau.	une	la,le,des	courtiser	femme
Elle houspille la personne.	Sie schimpft mit der Person.	la	une,des,le	houspiller	personne
Le jour poindra bientôt.	Der Tag wird bald aufkommen.	bientôt	tôt,tard,jamais	poindre	jour
Je décore la table.	Ich dekoriere den Tisch.	la	une,des,le	décorer	table
Il jure la promesse.	Er schwört das Versprechen.	la	une,des,le	jurer	promesse
Nous stationnons la place.	Wir parken den Platz.	la	une,des,le	stationner	place
Je ride le cheval.	Ich reite das Pferd.	le	un,la,des	rider	cheval
L'écho retentit dans la vallée.	Das Echo hallt im Tal.	dans	sur,au,avec	retentir	écho
Il enivre le vin.	Er betrinkt den Wein.	le	un,la,des	enivrer	vin
Elle frustre la situation.	Sie frustriert die Situation.	la	une,des,le	frustrer	situation
Je suppose l'idée.	Ich nehme die Idee an.	l'	de,une,la	supposer	l'idée
Il manie un outil.	Er handhabt ein Werkzeug.	un	le,la,de	manier	un outil
Elle pointe la direction.	Sie zeigt die Richtung.	la	une,de,à	pointer	la direction
Nous revitalisons la communauté.	Wir revitalisieren die Gemeinschaft.	la	une,de,dans	revitaliser	la communauté
J'écoute la musique.	Ich höre die Musik.	la	une,de,à	écouter	la musique
Il valide la décision.	Er bestätigt die Entscheidung.	la	une,de,à	valider	la décision
Nous encadrons la photo.	Wir rahmen das Foto.	la	une,de,à	encadrer	la photo
Je partage l'idée.	Ich teile die Idee.	l'	une,de,la	partager	l'idée
Elle entête la pensée.	Sie verwirrt den Gedanken.	la	une,de,à	entêter	la pensée
Nous arrêtons la voiture.	Wir halten das Auto an.	la	une,de,à	arrêter	la voiture
Il manie la situation.	Er handhabt die Situation.	la	une,de,à	manier	la situation
Nous télévisons le film.	Wir sehen den Film.	le	la,une,de	téléviser	le film
Ils parrainent le projet.	Sie patronieren das Projekt.	le	la,une,de	parrainer	le projet
Je grillage le légume.	Ich grille das Gemüse.	le	la,une,de	grillager	le légume
Nous concevons le produit.	Wir entwerfen das Produkt.	le	la,une,de	concevoir	le produit
Je sens la chaleur.	Ich fühle die Wärme.	la	une,de,à	sentir	la chaleur
Il affecte la personne.	Er beeinflusst die Person.	la	une,de,à	affecter	la personne
Nous scrutons la situation.	Wir untersuchen die Situation genau.	la	une,de,à	scruter	la situation
Elle étire le muscle.	Sie dehnt den Muskel.	le	la,une,de	étirer	le muscle
Ils contrebalancent l'impact.	Sie gleichen den Einfluss aus.	l'	la,une,de	contrebalancer	l'impact
Nous validons l'information.	Wir bestätigen die Information.	l'	une,de,la	valider	l'information
Il confronte la personne.	Er konfrontiert die Person.	la	une,de,à	confronter	la personne
Nous préparons l'événement.	Wir bereiten das Ereignis vor.	l'	une,de,la	préparer	l'événement
Nous régulons le processus.	Wir regulieren den Prozess.	le	la,une,de	réguler	le processus
Il motorise l'équipement.	Er motorisiert die Ausrüstung.	l'	la,une,de	motoriser	l'équipement
Elle rejette une proposition.	Sie lehnt einen Vorschlag ab.	une	la,de,à	rejeter	une proposition
Il pénètre dans le marché.	Er dringt in den Markt ein.	dans	à,sur,avec	pénétrer	le marché
Elle paie la facture.	Sie bezahlt die Rechnung.	la	une,de,le	payer	la facture
Il écrit le texte.	Er schreibt den Text.	le	un,la,de	écrire	le texte
Elle surprend la nouvelle.	Sie überrascht die Nachricht.	la	une,de,le	surprendre	la nouvelle
Il modifie le document.	Er ändert das Dokument.	le	un,la,de	modifier	le document
L'animal mugit dans le pré.	Das Tier muht auf der Wiese.	dans	à,sur,avec	mugir	l'animal
Il cantonne dans le quartier.	Er quartiert im Viertel ein.	dans	à,sur,le	cantonner	le quartier
Ils polluent la terre.	Sie verschmutzen die Erde.	la	une,de,le	polluer	la terre
Elle renouvelle l'abonnement.	Sie erneuert das Abonnement.	l'	un,la,le	renouveler	l'abonnement
Il intercède pour la situation.	Er interveniert für die Situation.	pour	dans,à,avec	intercéder	la situation
Ils protègent l'environnement.	Sie schützen die Umwelt.	l'	la,le,une	protéger	l'environnement
Je veux obtenir la réponse.	Ich möchte die Antwort erhalten.	la	une,de,le	obtenir	la réponse
Il faut recorriger le texte.	Man muss den Text korrigieren.	le	un,la,de	recorriger	le texte
Elle veut regagner du temps.	Sie will Zeit zurückgewinnen.	du	le,la,un	regagner	temps
Il broie le grain.	Er zerkleinert das Korn.	le	un,la,de	broyer	le grain
Elle commet une erreur.	Sie begeht einen Fehler.	une	la,le,de	commettre	l'erreur
Il photographie la personne.	Er fotografiert die Person.	la	une,de,le	photographier	la personne
Elle saigne du nez.	Sie blutet aus der Nase.	du	le,la,de	saigner	le nez
Il apaise la tension.	Er beruhigt die Spannung.	la	une,de,le	apaiser	la tension
Elle essuie la main.	Sie wischt die Hand ab.	la	une,de,le	essuyer	la main
Il appelle le nom.	Er ruft den Namen.	le	un,la,de	appeler	le nom
Elle positionne la marque.	Sie positioniert die Marke.	la	une,de,le	positionner	la marque
Il excepte la situation.	Er nimmt die Situation aus.	la	une,de,le	excepter	la situation
Elle traduit la phrase.	Sie übersetzt den Satz.	la	une,de,le	traduire	la phrase
Il éclaircit le doute.	Er klärt den Zweifel auf.	le	un,la,de	éclaircir	le doute
Elle entache l'image.	Sie beschmutzt das Bild.	l'	une,de,le	entacher	l'image
Il fonde une entreprise.	Er gründet eine Firma.	une	la,le,de	fonder	l'entreprise
Elle signifie le signe.	Sie bedeutet das Zeichen.	le	un,la,de	signifier	le signe
Il rebutte l'idée.	Er stößt die Idee ab.	l'	une,de,le	rebuter	l'idée
Elle ceinture l'objet.	Sie umgürtet den Gegenstand.	l'	un,de,le	ceinturer	l'objet
Je cherche la réponse.	Ich suche die Antwort.	la	une,de,le	chercher	la réponse
Ils exultent de la victoire.	Sie jubeln über den Sieg.	de	à,sur,avec	exulter	la victoire
Elle accable la situation.	Sie überwältigt die Situation.	la	une,de,le	accabler	la situation
Nous vendons le service.	Wir verkaufen den Dienst.	le	un,la,de	vendre	le service
Il spécifie le détail.	Er spezifiziert das Detail.	le	un,la,de	spécifier	le détail
Je reçois un cadeau.	Ich erhalte ein Geschenk.	un	la,de,le	recevoir	le cadeau
Tu aides l'ami.	Du hilfst dem Freund.	l'	un,le,la	aider	l'ami
Ils merdent dans la relation.	Sie verdammen die Beziehung.	dans	avec,sur,de	merder	la relation
Je perds la clé.	Ich verliere den Schlüssel.	la	une,de,le	perdre	la clé
Nous abstrait le concept.	Wir abstrahieren das Konzept.	le	un,la,de	abstraire	le concept
Ils célèbrent l'événement.	Sie feiern das Ereignis.	l'	un,la,de	célébrer	l'événement
Elle facilite la communication.	Sie erleichtert die Kommunikation.	la	une,de,le	faciliter	la communication
Nous débattons sur le sujet.	Wir debattieren über das Thema.	sur	de,avec,à	débattre	le sujet
Il ânonne la réponse.	Er stammelt die Antwort.	la	une,de,le	ânonner	la réponse
Ils colonisent la population.	Sie kolonisieren die Bevölkerung.	la	une,de,le	coloniser	la population
Je m'accoude à la table.	Ich lehne mich an den Tisch.	à	de,sur,avec	accouder	la table
Il rythme l'activité.	Er rhythmisiert die Aktivität.	l'	une,de,le	rythmer	l'activité
Nous palions l'effet.	Wir mildern den Effekt.	l'	un,la,de	pallier	l'effet
Je fais la cuisine.	Ich mache die Küche.	la	une,de,le	faire	la cuisine
Il place l'objet.	Er platziert den Gegenstand.	l'	un,la,de	placer	l'objet
Elle avertit du risque.	Sie warnt vor dem Risiko.	du	de,le,la	avertir	le risque
Il lasse l'esprit.	Er ermüdet den Geist.	l'	un,la,de	lasser	l'esprit
Je sucre le café.	Ich zucke den Kaffee.	le	un,la,de	sucrer	le café
Ils polymérisent le plastique.	Sie polymerisieren den Kunststoff.	le	un,la,de	polymériser	le plastique
Elle maltraite l'animal.	Sie misshandelt das Tier.	l'	un,la,de	maltraiter	l'animal
Le pain moisit.	Das Brot schimmelt.	le	un,la,de	moisir	le pain
Je salue l'ami.	Ich grüße den Freund.	l'	un,la,de	saluer	l'ami
Nous vérifions la facture.	Wir überprüfen die Rechnung.	la	une,de,le	vérifier	la facture
Il confie la responsabilité.	Er vertraut die Verantwortung an.	la	une,de,le	confier	la responsabilité
Elle fige la glace.	Sie friert das Eis ein.	la	une,de,le	figer	la glace
Je rappelle l'information.	Ich erinnere an die Information.	l'	de,la,une	rappeler	l'information
J'ôte l'objet.	Ich entferne den Gegenstand.	l'	du,de,un	ôter	l'objet
J'ai le chien.	Ich habe den Hund.	le	un,la,de	avoir	le chien
Il déroute le voyageur.	Er verwirrt den Reisenden.	le	du,un,la	dérouter	le voyageur
Nous pérennisons la relation.	Wir machen die Beziehung dauerhaft.	la	une,de,le	pérenniser	la relation
Elle exécute la tâche.	Sie führt die Aufgabe aus.	la	une,de,le	exécuter	la tâche
Je doute de la situation.	Ich zweifle an der Situation.	de	à,la,le	douter	la situation
Il rassure la personne.	Er beruhigt die Person.	la	une,de,le	rassurer	la personne
Ils corrompent la personne.	Sie bestechen die Person.	la	une,de,le	corrompre	la personne
Je vois le paysage.	Ich sehe die Landschaft.	le	un,la,de	voir	le paysage
Nous dépassionnons le sujet.	Wir entkräften das Thema.	le	un,la,de	dépassionner	le sujet
Il gonfle le poumon.	Er bläst die Lunge auf.	le	un,la,de	gonfler	le poumon
Nous réunissons le groupe.	Wir versammeln die Gruppe.	le	un,la,de	réunir	le groupe
J'ai la maison.	Ich habe das Haus.	la	une,de,le	avoir	la maison
Elle souffre de la douleur.	Sie leidet unter dem Schmerz.	de	à,la,le	souffrir	la douleur
Je reconduis l'ami.	Ich bringe den Freund zurück.	l'	un,la,de	reconduire	l'ami
Il malmène le collègue.	Er schikaniert den Kollegen.	le	un,la,de	malmener	le collègue
Elle insulte la personne.	Sie beleidigt die Person.	la	une,de,le	insulter	la personne
Je reste à l'endroit.	Ich bleibe an dem Ort.	à	dans,le,de	rester	l'endroit
Il surmène la personne.	Er überanstrengt die Person.	la	une,de,le	surmener	la personne
Nous recommençons le projet.	Wir fangen das Projekt wieder an.	le	un,la,de	recommencer	le projet
Il renverse la situation.	Er kippt die Situation um.	la	une,de,le	renverser	la situation
Elle écarquille le visage.	Sie öffnet das Gesicht weit.	le	un,la,de	écarquiller	le visage
Je baigne le chien.	Ich bade den Hund.	le	un,la,de	baigner	le chien
Il vise la cible.	Er zielt auf das Ziel.	la	une,de,le	viser	la cible
Nous éclaircissons le problème.	Wir klären das Problem auf.	le	un,la,de	éclaircir	le problème
Je perds le match.	Ich verliere das Spiel.	le	un,la,de	perdre	le match
Nous poursuivons l'objectif.	Wir verfolgen das Ziel.	l'	un,la,de	poursuivre	l'objectif
Je chante le texte.	Ich singe den Text.	le	un,la,de	chanter	le texte
Nous débrouillons la situation.	Wir kommen mit der Situation zurecht.	la	une,de,le	débrouiller	la situation
Je zone le territoire.	Ich zone das Gebiet.	le	un,la,du	zoner	le territoire
Elle embrasse l'enfant.	Sie umarmt das Kind.	l'	un,le,la	embrasser	l'enfant
Nous réaffirmons l'engagement.	Wir bekräftigen das Engagement.	l'	un,le,la	réaffirmer	l'engagement
Il déculpabilise le sentiment.	Er entlastet das Gefühl.	le	un,la,de	déculpabiliser	le sentiment
Je repêche l'objet.	Ich hole den Gegenstand wieder.	l'	un,le,la	repêcher	l'objet
Ils auréolent la réputation.	Sie umkränzen den Ruf.	la	le,un,de	auréoler	la réputation
Elle ride le poney.	Sie reitet das Pony.	le	un,la,de	rider	le poney
Je me souviens de l'événement.	Ich erinnere mich an das Ereignis.	de	à,le,un	se souvenir	l'événement
Il désenchante l'enfant.	Er enttäuscht das Kind.	l'	un,le,la	désenchanter	l'enfant
Nous institutionnalisons la pratique.	Wir institutionalisieren die Praxis.	la	le,un,de	institutionnaliser	la pratique
Je travaille dans l'entreprise.	Ich arbeite in der Firma.	dans	à,le,un	travailler	l'entreprise
Il irrigue le champ.	Er bewässert das Feld.	le	un,la,de	irriguer	le champ
L'événement advient demain.	Das Ereignis geschieht morgen.	demain	hier,aujourd'hui,la	advenir	l'événement
Nous survolons le territoire.	Wir überfliegen das Gebiet.	le	un,la,de	survoler	le territoire
Ils papotent de la conversation.	Sie plaudern über das Gespräch.	de	à,le,un	papoter	la conversation
Elle oppose l'argument.	Sie setzt das Argument entgegen.	l'	un,le,la	opposer	l'argument
Je supprime le message.	Ich lösche die Nachricht.	le	un,la,de	supprimer	le message
Il arrête le mouvement.	Er hält die Bewegung an.	le	un,la,de	arrêter	le mouvement
Elle rompt la relation.	Sie bricht die Beziehung.	la	le,un,de	rompre	la relation
Il aiguillera le flux.	Er leitet den Fluss.	le	un,la,de	aiguiller	le flux
Nous fructifions le travail.	Wir machen die Arbeit fruchtbar.	le	un,la,de	fructifier	le travail
Elle réveille la personne.	Sie weckt die Person.	la	le,un,de	réveiller	la personne
Il cogne la main.	Er haut die Hand.	la	le,un,de	cogner	la main
Nous pavons la place.	Wir pflastern den Platz.	la	le,un,de	paver	la place
Je conduis la moto.	Ich fahre das Motorrad.	la	le,un,de	conduire	la moto
Il tente la chance.	Er versucht das Glück.	la	le,un,de	tenter	la chance
Nous intégrons le système.	Wir integrieren das System.	le	un,la,de	intégrer	le système
Ils couronnent le champion.	Sie krönen den Champion.	le	un,la,de	couronner	le champion
Cela occasionne le retard.	Das verursacht die Verspätung.	le	un,la,de	occasionner	le retard
Il sacralise le rituel.	Er heilt das Ritual.	le	un,la,de	sacraliser	le rituel
Je lave la vaisselle.	Ich wasche das Geschirr.	la	de,une,le	laver	la vaisselle
J'arrose la plante.	Ich gieße die Pflanze.	la	une,de,le	arroser	la plante
Il affaiblit la force.	Er schwächt die Kraft.	la	de,une,le	affaiblir	la force
Elle recale l'élève.	Sie lässt den Schüler durchfallen.	l'	un,le,de	recaler	l'élève
Il fume la pipe.	Er raucht die Pfeife.	la	une,de,le	fumer	la pipe
Je feuillette le livre.	Ich blättere im Buch.	le	un,de,la	feuilleter	le livre
Ils dispersent le groupe.	Sie streuen die Gruppe.	le	une,de,la	disperser	le groupe
Elle dilue la peinture.	Sie verdünnt die Malerei.	la	une,de,le	diluer	la peinture
Il incarne le personnage.	Er verkörpert die Figur.	le	une,de,la	incarner	le personnage
Elle épouse l'amour.	Sie heiratet die Liebe.	l'	une,de,le	épouser	l'amour
