"id","fr","de","wortart","genus","beispielsatz_fr","themenfeld","quelle","created_at"
"2130","la meilleure amie","die beste Freundin","noun","f","Dans la vie quotidienne, on parle souvent de la meilleure amie.","Familie & Freunde","",""
"2139","passer du temps en famille","Zeit mit der Familie verbringen","phrase","","Dans la vie quotidienne, on peut passer du temps en famille.","Familie & Freunde","",""
"2140","aider ses parents","seinen Eltern helfen","phrase","","Le week-end, il aide ses parents à la maison.","Familie & Freunde","",""
"2147","inviter un ami","einen Freund einladen","phrase","","J'invite un ami pour mon anniversaire.","Familie & Freunde","",""
"2158","sympathique","sympathisch","adjective","","Il est sympathique.","Familie & Freunde","",""
"2163","on mange ensemble ce soir","wir essen heute Abend zusammen","phrase","","On mange ensemble ce soir.","Familie & Freunde","",""
"2164","je dois aider mon père","ich muss meinem Vater helfen","phrase","","Je dois aider mon père.","Familie & Freunde","",""
"2170","tu veux venir chez moi samedi","willst du am Samstag zu mir kommen","phrase","","Tu veux venir chez moi samedi.","Familie & Freunde","",""
"2174","la porte d'entrée","die Eingangstür","noun","f","Dans la vie quotidienne, on parle souvent de la porte d'entrée.","Haus & Wohnen","",""
"2175","le couloir","der Flur","noun","m","Dans la vie quotidienne, on parle souvent de le couloir.","Haus & Wohnen","",""
"2177","la salle à manger","das Esszimmer","noun","f","Dans la vie quotidienne, on parle souvent de la salle à manger.","Haus & Wohnen","",""
"2199","la clé de la maison","der Haustürschlüssel","noun","f","Dans la vie quotidienne, on parle souvent de la clé de la maison.","Haus & Wohnen","",""
"2201","prendre une douche","duschen","phrase","","Je prends une douche après le sport.","Haus & Wohnen","",""
"2203","faire son lit","sein Bett machen","phrase","","Je fais mon lit avant de partir à l'école.","Haus & Wohnen","",""
"2212","préparer le dîner","das Abendessen vorbereiten","phrase","","Dans la vie quotidienne, on peut préparer le dîner.","Haus & Wohnen","",""
"2217","chercher ses clés","seine Schlüssel suchen","phrase","","Dans la vie quotidienne, on peut chercher ses clés.","Haus & Wohnen","",""
"2219","allumer la lumière","das Licht einschalten","phrase","","Peux-tu allumer la lumière dans la cuisine ?","Haus & Wohnen","",""
"2220","éteindre la lumière","das Licht ausschalten","phrase","","N'oublie pas d'éteindre la lumière en sortant.","Haus & Wohnen","",""
"2228","vide","leer","adjective","","C'est vide.","Haus & Wohnen","",""
"2229","plein","voll","adjective","","C'est plein.","Haus & Wohnen","",""
"2231","je cherche ma brosse à dents","ich suche meine Zahnbürste","phrase","","Je cherche ma brosse à dents.","Haus & Wohnen","",""
"2237","je mets le lait au frigo","ich stelle die Milch in den Kühlschrank","phrase","","Je mets le lait au frigo.","Haus & Wohnen","",""
"2239","n'oublie pas les clés","vergiss die Schlüssel nicht","phrase","","N'oublie pas les clés, la porte se ferme toute seule.","Haus & Wohnen","",""
"2247","le morceau de pain","das Stück Brot","noun","m","On voit le morceau de pain sur la photo.","Essen","",""
"2248","le croissant chaud","das warme Croissant","noun","m","Aujourd'hui, le repas comprend le croissant chaud.","Essen","",""
"2249","le pain au chocolat","das Schokocroissant","noun","m","Aujourd'hui, le repas comprend le pain au chocolat.","Essen","",""
"2250","le miel","der Honig","noun","m","Aujourd'hui, le repas comprend le miel.","Essen","",""
"2251","le yaourt nature","der Naturjoghurt","noun","m","On voit le yaourt nature sur la photo.","Essen","",""
"2254","le jambon","der Schinken","noun","m","On voit le jambon sur la photo.","Essen","",""
"2259","l'œuf dur","das gekochte Ei","noun","","On voit l'œuf dur sur la photo.","Essen","",""
"2266","le raisin","die Weintraube","noun","m","On voit le raisin sur la photo.","Essen","",""
"2267","la poire","die Birne","noun","f","On voit la poire sur la photo.","Essen","",""
"2270","le jus d'orange","der Orangensaft","noun","m","Aujourd'hui, le repas comprend le jus d'orange.","Trinken & Gastronomie","",""
"2271","le thé chaud","der heiße Tee","noun","m","Aujourd'hui, le repas comprend le thé chaud.","Trinken & Gastronomie","",""
"2272","la bouteille d'eau","die Wasserflasche","noun","f","Aujourd'hui, le repas comprend la bouteille d'eau.","Trinken & Gastronomie","",""
"2273","le verre de lait","das Glas Milch","noun","m","Aujourd'hui, le repas comprend le verre de lait.","Trinken & Gastronomie","",""
"2275","la glace au chocolat","das Schokoladeneis","noun","f","Aujourd'hui, le repas comprend la glace au chocolat.","Essen","",""
"2276","la glace à la vanille","das Vanilleeis","noun","f","Aujourd'hui, le repas comprend la glace à la vanille.","Essen","",""
"2278","le serveur","der Kellner","noun","m","On voit le serveur sur la photo.","Trinken & Gastronomie","",""
"2279","la serveuse","die Kellnerin","noun","f","On voit la serveuse sur la photo.","Trinken & Gastronomie","",""
"2282","la liste de courses","der Einkaufszettel","noun","f","Dans la vie quotidienne, on parle souvent de la liste de courses.","Essen","",""
"2283","le prix total","der Gesamtpreis","noun","m","Dans la vie quotidienne, on parle souvent de le prix total.","Reisen","",""
"2288","le pantalon noir","die schwarze Hose","noun","m","Dans la vie quotidienne, on parle souvent de le pantalon noir.","Kleidung & Mode","",""
"2289","les chaussures de sport","die Sportschuhe","noun","","Dans la vie quotidienne, on parle souvent de les chaussures de sport.","Kleidung & Mode","",""
"2291","boire un jus d'orange","einen Orangensaft trinken","phrase","","Dans la vie quotidienne, on peut boire un jus d'orange.","Trinken & Gastronomie","",""
"2292","manger une salade","einen Salat essen","phrase","","À midi, je mange une salade avec du pain.","Essen","",""
"2293","couper le pain","das Brot schneiden","phrase","","Dans la vie quotidienne, on peut couper le pain.","Essen","",""
"2297","prendre un dessert","einen Nachtisch nehmen","phrase","","Dans la vie quotidienne, on peut prendre un dessert.","Essen","",""
"2298","avoir encore faim","noch Hunger haben","phrase","","Dans la vie quotidienne, on peut avoir encore faim.","Essen","",""
"2299","avoir très soif","sehr Durst haben","phrase","","Dans la vie quotidienne, on peut avoir très soif.","Essen","",""
"2302","demander l'addition","die Rechnung verlangen","phrase","","Excusez-moi, nous voudrions demander l'addition.","Trinken & Gastronomie","",""
"2303","payer en espèces","bar bezahlen","phrase","","Dans la vie quotidienne, on peut payer en espèces.","Reisen","",""
"2304","payer avec sa carte","mit Karte bezahlen","phrase","","Ici, on peut payer avec sa carte sans problème.","Reisen","",""
"2305","faire les courses","einkaufen gehen","phrase","","Nous faisons les courses le samedi matin.","Essen","",""
"2306","prendre un panier","einen Einkaufskorb nehmen","phrase","","Dans la vie quotidienne, on peut prendre un panier.","Essen","",""
"2314","sucré","süß","adjective","","C'est sucré.","Essen","",""
"2315","salé","salzig","adjective","","C'est salé.","Essen","",""
"2319","je prépare le petit déjeuner","ich bereite das Frühstück vor","phrase","","Je prépare le petit déjeuner.","Essen","",""
"2320","je voudrais un jus d'orange","ich hätte gern einen Orangensaft","phrase","","Bonjour, je voudrais un jus d'orange, s'il vous plaît.","Trinken & Gastronomie","",""
"2321","on mange des pâtes ce soir","wir essen heute Abend Nudeln","phrase","","On mange des pâtes ce soir.","Essen","",""
"2323","je prends une salade verte","ich nehme einen grünen Salat","phrase","","Je prends une salade verte.","Trinken & Gastronomie","",""
"2324","je n'ai plus faim","ich habe keinen Hunger mehr","phrase","","Je n'ai plus faim.","Essen","",""
"2326","on partage une pizza","wir teilen uns eine Pizza","phrase","","On partage une pizza.","Trinken & Gastronomie","",""
"2327","je paie en espèces","ich bezahle bar","phrase","","Je paie en espèces.","Reisen","",""
"2357","le plan de la ville","der Stadtplan","noun","m","Aujourd'hui, le trajet passe par le plan de la ville.","Reisen","",""
"2360","la bonne direction","die richtige Richtung","noun","f","Aujourd'hui, le trajet passe par la bonne direction.","Stadt","",""
"2362","traverser la rue","die Straße überqueren","phrase","","On traverse la rue au feu vert.","Verkehr","",""
"2366","prendre le tram","die Straßenbahn nehmen","phrase","","Dans la vie quotidienne, on peut prendre le tram.","Verkehr","",""
"2369","faire une promenade","einen Spaziergang machen","phrase","","Dans la vie quotidienne, on peut faire une promenade.","Stadt","",""
"2370","prendre le train","den Zug nehmen","phrase","","Demain, nous allons prendre le train pour Lyon.","Verkehr","",""
"2373","faire sa valise","seinen Koffer packen","phrase","","Je fais ma valise la veille du départ.","Reisen","",""
"2390","je traverse au passage piéton","ich gehe über den Zebrastreifen","phrase","","Je traverse au passage piéton.","Verkehr","",""
"2392","où est la mairie","wo ist das Rathaus","phrase","","Où est la mairie ?","Stadt","",""
"2394","je cherche la bonne direction","ich suche die richtige Richtung","phrase","","Je cherche la bonne direction.","Stadt","",""
"2403","le clavier","die Tastatur","noun","m","On voit le clavier sur la photo.","Medien","",""
"2404","la souris","die Maus","noun","f","On voit la souris sur la photo.","Medien","",""
"2408","le site web","die Website","noun","m","Aujourd'hui, l'article porte sur le site web.","Internet & Social Media","",""
"2412","la connexion internet","die Internetverbindung","noun","f","On voit la connexion internet sur la photo.","Medien","",""
"2413","la caméra","die Kamera","noun","f","On voit la caméra sur la photo.","Medien","",""
"2414","le micro","das Mikrofon","noun","m","On voit le micro sur la photo.","Medien","",""
"2415","les écouteurs","die Ohrhörer","noun","","On voit les écouteurs sur la photo.","Medien","",""
"2426","charger son téléphone","sein Handy aufladen","phrase","","En ligne, on peut charger son téléphone.","Medien","",""
"2429","fermer une application","eine App schließen","phrase","","En ligne, on peut fermer une application.","Internet & Social Media","",""
"2434","chercher sur internet","im Internet suchen","phrase","","Elle cherche l'adresse sur internet.","Internet & Social Media","",""
"2447","en ligne","online","adjective","","Le service est en ligne.","Internet & Social Media","",""
"2450","ma batterie est presque vide","mein Akku ist fast leer","phrase","","Ma batterie est presque vide.","Medien","",""
"2451","je cherche le chargeur","ich suche das Ladegerät","phrase","","Je cherche le chargeur.","Medien","",""
"2460","la tristesse","die Traurigkeit","noun","f","La tristesse passe quand on en parle.","Gefühle","",""
"2465","la toux","der Husten","noun","f","Cette toux l'empêche de dormir depuis deux nuits.","Körper & Gesundheit","",""
"2467","le genou","das Knie","noun","m","On voit le genou sur la photo.","Körper & Gesundheit","",""
"2472","le pansement","das Pflaster","noun","m","Aujourd'hui, la consultation porte sur le pansement.","Körper & Gesundheit","",""
"2474","la météo du jour","das Wetter heute","noun","f","La météo du jour annonce de la pluie.","Natur","",""
"2481","le champ","das Feld","noun","m","On voit le champ sur la photo.","Natur","",""
"2483","l'arbre","der Baum","noun","","On voit l'arbre sur la photo.","Natur","",""
"2485","l'herbe","das Gras","noun","","On voit l'herbe sur la photo.","Natur","",""
"2487","l'oiseau","der Vogel","noun","","On voit l'oiseau sur la photo.","Natur","",""
"2490","le cheval","das Pferd","noun","m","On voit le cheval sur la photo.","Natur","",""
"2491","la vache","die Kuh","noun","f","On voit la vache sur la photo.","Natur","",""
"2492","le mouton","das Schaf","noun","m","On voit le mouton sur la photo.","Natur","",""
"2497","se sentir triste","sich traurig fühlen","verb","","Je me sens triste depuis son départ.","Gefühle","",""
"2498","se sentir en colère","sich wütend fühlen","verb","","Il se sent en colère après cette injustice.","Gefühle","",""
"2502","dormir suffisamment","genug schlafen","phrase","","Dans certaines situations, on peut dormir suffisamment.","Körper & Gesundheit","",""
"2503","boire de l'eau","Wasser trinken","phrase","","Il faut boire de l'eau quand il fait chaud.","Körper & Gesundheit","",""
"2504","avoir de la fièvre","Fieber haben","phrase","","Dans certaines situations, on peut avoir de la fièvre.","Körper & Gesundheit","",""
"2509","regarder la météo","den Wetterbericht schauen","phrase","","Dans certaines situations, on peut regarder la météo.","Natur","",""
"2517","en colère","wütend","adjective","","Je suis en colère.","Gefühle","",""
"2519","malade","krank","adjective","","Je suis malade.","Körper & Gesundheit","",""
"2520","en forme","fit","adjective","","Je suis en forme.","Körper & Gesundheit","",""
"2524","je me sens triste aujourd'hui","ich fühle mich heute traurig","phrase","","Je me sens triste aujourd'hui.","Gefühle","",""
"2528","j'ai mal au dos","ich habe Rückenschmerzen","phrase","","J'ai mal au dos.","Körper & Gesundheit","",""
"2529","j'ai de la fièvre","ich habe Fieber","phrase","","Je reste à la maison parce que j'ai de la fièvre.","Körper & Gesundheit","",""
"2536","le premier exemple","das erste Beispiel","noun","m","Aujourd'hui, le cours porte sur le premier exemple.","Lernen & Bildung","",""
"2537","le deuxième exemple","das zweite Beispiel","noun","m","Aujourd'hui, le cours porte sur le deuxième exemple.","Lernen & Bildung","",""
"2558","simple","einfach","adjective","","Ce texte est simple.","Lernen & Bildung","",""
"2561","correct","korrekt","adjective","","Ce texte est correct.","Lernen & Bildung","",""
"2564","par exemple","zum Beispiel","phrase","","Par exemple.","Lernen & Bildung","",""
"2565","en général","im Allgemeinen","phrase","","En général.","Lernen & Bildung","",""
"2566","en ce moment","im Moment","phrase","","En ce moment.","Lernen & Bildung","",""
"2567","la semaine prochaine","nächste Woche","noun","","La semaine prochaine.","Lernen & Bildung","",""
"2568","le mois prochain","nächsten Monat","noun","","Le mois prochain.","Lernen & Bildung","",""
"2569","le mois dernier","letzten Monat","noun","","Le mois dernier.","Lernen & Bildung","",""
"2573","en premier","zuerst","phrase","","En premier.","Lernen & Bildung","",""
"2574","en dernier","zuletzt","phrase","","En dernier.","Lernen & Bildung","",""
"2577","à la fin","am Ende","phrase","","À la fin.","Lernen & Bildung","",""
"2578","au début","am Anfang","phrase","","Au début.","Lernen & Bildung","",""
"2579","jusqu'à demain","bis morgen","phrase","","Jusqu'à demain.","Lernen & Bildung","",""
"2580","depuis hier","seit gestern","phrase","","Depuis hier.","Lernen & Bildung","",""
"2581","avant midi","vor Mittag","phrase","","Avant midi.","Lernen & Bildung","",""
"2582","après les cours","nach dem Unterricht","phrase","","Après les cours.","Lernen & Bildung","",""
"2584","sans problème","ohne Problem","phrase","","Sans problème.","Lernen & Bildung","",""
"2585","avec plaisir","gern","phrase","","Avec plaisir.","Lernen & Bildung","",""
"2591","d'abord","zuerst","adverb","","L'adverbe ""d'abord"" revient souvent dans ce type d'enonce.","Lernen & Bildung","",""
"2592","enfin","schließlich","adverb","","L'adverbe ""enfin"" revient souvent dans ce type d'enonce.","Lernen & Bildung","",""
"2594","pendant","während","preposition","","On emploie souvent ""pendant"" dans cette tournure.","Lernen & Bildung","",""
"2595","depuis","seit","preposition","","On emploie souvent ""depuis"" dans cette tournure.","Lernen & Bildung","",""
"2596","jusqu'à","bis","preposition","","On emploie souvent ""jusqu'à"" dans cette tournure.","Lernen & Bildung","",""
"2710","où est le cahier","wo ist das Heft","phrase","","Où est le cahier ?","Schule","",""
"2711","j'ai oublié le cahier","ich habe das Heft vergessen","phrase","","J'ai oublié le cahier.","Schule","",""
"2712","je prends le cahier","ich nehme das Heft","phrase","","Je prends le cahier.","Schule","",""
"2715","où est le manuel","wo ist das Lehrbuch","phrase","","Où est le manuel ?","Schule","",""
"2716","j'ai oublié le manuel","ich habe das Lehrbuch vergessen","phrase","","J'ai oublié le manuel.","Schule","",""
"2717","je prends le manuel","ich nehme das Lehrbuch","phrase","","Je prends le manuel.","Schule","",""
"2720","où est le dictionnaire","wo ist das Wörterbuch","phrase","","Où est le dictionnaire ?","Schule","",""
"2721","j'ai oublié le dictionnaire","ich habe das Wörterbuch vergessen","phrase","","J'ai oublié le dictionnaire.","Schule","",""
"2722","je prends le dictionnaire","ich nehme das Wörterbuch","phrase","","Je prends le dictionnaire.","Schule","",""
"2725","où est le classeur","wo ist der Ordner","phrase","","Où est le classeur ?","Schule","",""
"2726","j'ai oublié le classeur","ich habe der Ordner vergessen","phrase","","J'ai oublié le classeur.","Schule","",""
"2727","je prends le classeur","ich nehme der Ordner","phrase","","Je prends le classeur.","Schule","",""
"2730","où est la règle","wo ist das Lineal","phrase","","Où est la règle ?","Schule","",""
"2731","j'ai oublié la règle","ich habe das Lineal vergessen","phrase","","J'ai oublié la règle.","Schule","",""
"2732","je prends la règle","ich nehme das Lineal","phrase","","Je prends la règle.","Schule","",""
"2735","où est la feuille","wo ist das Blatt","phrase","","Où est la feuille ?","Schule","",""
"2736","j'ai oublié la feuille","ich habe das Blatt vergessen","phrase","","J'ai oublié la feuille.","Schule","",""
"2737","je prends la feuille","ich nehme das Blatt","phrase","","Je prends la feuille.","Schule","",""
"2740","où est la calculatrice","wo ist der Taschenrechner","phrase","","Où est la calculatrice ?","Schule","",""
"2741","j'ai oublié la calculatrice","ich habe der Taschenrechner vergessen","phrase","","J'ai oublié la calculatrice.","Schule","",""
"2742","je prends la calculatrice","ich nehme der Taschenrechner","phrase","","Je prends la calculatrice.","Schule","",""
"2745","où est l'ordinateur","wo ist der Computer","phrase","","Où est l'ordinateur ?","Schule","",""
"2746","j'ai oublié l'ordinateur","ich habe der Computer vergessen","phrase","","J'ai oublié l'ordinateur.","Schule","",""
"2747","je prends l'ordinateur","ich nehme der Computer","phrase","","Je prends l'ordinateur.","Schule","",""
"2750","où est la tablette","wo ist das Tablet","phrase","","Où est la tablette ?","Schule","",""
"2751","j'ai oublié la tablette","ich habe das Tablet vergessen","phrase","","J'ai oublié la tablette.","Schule","",""
"2752","je prends la tablette","ich nehme das Tablet","phrase","","Je prends la tablette.","Schule","",""
"2755","où est le sac","wo ist die Tasche","phrase","","Où est le sac ?","Schule","",""
"2756","j'ai oublié le sac","ich habe die Tasche vergessen","phrase","","J'ai oublié le sac.","Schule","",""
"2757","je prends le sac","ich nehme die Tasche","phrase","","Je prends le sac.","Schule","",""
"2760","où est le stylo","wo ist der Stift","phrase","","Où est le stylo ?","Schule","",""
"2761","j'ai oublié le stylo","ich habe der Stift vergessen","phrase","","J'ai oublié le stylo.","Schule","",""
"2762","je prends le stylo","ich nehme der Stift","phrase","","Je prends le stylo.","Schule","",""
"2765","où est la gomme","wo ist der Radiergummi","phrase","","Où est la gomme ?","Schule","",""
"2766","j'ai oublié la gomme","ich habe der Radiergummi vergessen","phrase","","J'ai oublié la gomme.","Schule","",""
"2767","je prends la gomme","ich nehme der Radiergummi","phrase","","Je prends la gomme.","Schule","",""
"2784","je prends une salade","ich nehme einen Salat","phrase","","Je prends une salade.","Trinken & Gastronomie","",""
"2785","je voudrais une salade","ich hätte gern einen Salat","phrase","","Je voudrais une salade.","Trinken & Gastronomie","",""
"2786","on partage une salade","wir teilen einen Salat","phrase","","On partage une salade.","Trinken & Gastronomie","",""
"2787","tu veux une salade","willst du einen Salat","phrase","","Tu veux une salade.","Trinken & Gastronomie","",""
"2788","j'aime une salade","ich mag einen Salat","phrase","","J'aime une salade.","Essen","",""
"2789","je n'aime pas une salade","ich mag einen Salat nicht","phrase","","Je n'aime pas une salade.","Essen","",""
"2790","je prends une soupe","ich nehme eine Suppe","phrase","","Je prends une soupe.","Trinken & Gastronomie","",""
"2791","je voudrais une soupe","ich hätte gern eine Suppe","phrase","","Je voudrais une soupe.","Trinken & Gastronomie","",""
"2792","on partage une soupe","wir teilen eine Suppe","phrase","","On partage une soupe.","Trinken & Gastronomie","",""
"2793","tu veux une soupe","willst du eine Suppe","phrase","","Tu veux une soupe.","Trinken & Gastronomie","",""
"2794","j'aime une soupe","ich mag eine Suppe","phrase","","J'aime une soupe.","Essen","",""
"2795","je n'aime pas une soupe","ich mag eine Suppe nicht","phrase","","Je n'aime pas une soupe.","Essen","",""
"2796","je prends du fromage","ich nehme Käse","phrase","","Je prends du fromage.","Trinken & Gastronomie","",""
"2797","je voudrais du fromage","ich hätte gern Käse","phrase","","Je voudrais du fromage.","Trinken & Gastronomie","",""
"2798","on partage du fromage","wir teilen Käse","phrase","","On partage du fromage.","Trinken & Gastronomie","",""
"2799","tu veux du fromage","willst du Käse","phrase","","Tu veux du fromage.","Trinken & Gastronomie","",""
"2800","j'aime du fromage","ich mag Käse","phrase","","J'aime du fromage.","Essen","",""
"2801","je n'aime pas du fromage","ich mag Käse nicht","phrase","","Je n'aime pas du fromage.","Essen","",""
"2802","je prends du pain","ich nehme Brot","phrase","","Je prends du pain.","Trinken & Gastronomie","",""
"2803","je voudrais du pain","ich hätte gern Brot","phrase","","Je voudrais du pain.","Trinken & Gastronomie","",""
"2804","on partage du pain","wir teilen Brot","phrase","","On partage du pain.","Trinken & Gastronomie","",""
"2805","tu veux du pain","willst du Brot","phrase","","Tu veux du pain.","Trinken & Gastronomie","",""
"2806","j'aime du pain","ich mag Brot","phrase","","J'aime du pain.","Essen","",""
"2807","je n'aime pas du pain","ich mag Brot nicht","phrase","","Je n'aime pas du pain.","Essen","",""
"2808","je prends une pizza","ich nehme eine Pizza","phrase","","Je prends une pizza.","Trinken & Gastronomie","",""
"2809","tu veux une pizza","willst du eine Pizza","phrase","","Tu veux une pizza.","Trinken & Gastronomie","",""
"2810","j'aime une pizza","ich mag eine Pizza","phrase","","J'aime une pizza.","Essen","",""
"2811","je n'aime pas une pizza","ich mag eine Pizza nicht","phrase","","Je n'aime pas une pizza.","Essen","",""
"2812","je prends des pâtes","ich nehme Nudeln","phrase","","Je prends des pâtes.","Trinken & Gastronomie","",""
"2813","je voudrais des pâtes","ich hätte gern Nudeln","phrase","","Je voudrais des pâtes.","Trinken & Gastronomie","",""
"2814","on partage des pâtes","wir teilen Nudeln","phrase","","On partage des pâtes.","Trinken & Gastronomie","",""
"2815","tu veux des pâtes","willst du Nudeln","phrase","","Tu veux des pâtes.","Trinken & Gastronomie","",""
"2816","j'aime des pâtes","ich mag Nudeln","phrase","","J'aime des pâtes.","Essen","",""
"2817","je n'aime pas des pâtes","ich mag Nudeln nicht","phrase","","Je n'aime pas des pâtes.","Essen","",""
"2818","je voudrais un dessert","ich hätte gern einen Nachtisch","phrase","","Je voudrais un dessert.","Trinken & Gastronomie","",""
"2819","tu veux un dessert","willst du einen Nachtisch","phrase","","Tu veux un dessert.","Trinken & Gastronomie","",""
"2820","j'aime un dessert","ich mag einen Nachtisch","phrase","","J'aime un dessert.","Essen","",""
"2821","je n'aime pas un dessert","ich mag einen Nachtisch nicht","phrase","","Je n'aime pas un dessert.","Essen","",""
"2822","je prends un jus de pomme","ich nehme einen Apfelsaft","phrase","","Je prends un jus de pomme.","Trinken & Gastronomie","",""
"2823","je voudrais un jus de pomme","ich hätte gern einen Apfelsaft","phrase","","Je voudrais un jus de pomme.","Trinken & Gastronomie","",""
"2824","on partage un jus de pomme","wir teilen einen Apfelsaft","phrase","","On partage un jus de pomme.","Trinken & Gastronomie","",""
"2825","tu veux un jus de pomme","willst du einen Apfelsaft","phrase","","Tu veux un jus de pomme.","Trinken & Gastronomie","",""
"2826","j'aime un jus de pomme","ich mag einen Apfelsaft","phrase","","J'aime un jus de pomme.","Essen","",""
"2827","je n'aime pas un jus de pomme","ich mag einen Apfelsaft nicht","phrase","","Je n'aime pas un jus de pomme.","Essen","",""
"2828","je voudrais un chocolat chaud","ich hätte gern einen Kakao","phrase","","Je voudrais un chocolat chaud.","Trinken & Gastronomie","",""
"2829","on partage un chocolat chaud","wir teilen einen Kakao","phrase","","On partage un chocolat chaud.","Trinken & Gastronomie","",""
"2830","tu veux un chocolat chaud","willst du einen Kakao","phrase","","Tu veux un chocolat chaud.","Trinken & Gastronomie","",""
"2831","j'aime un chocolat chaud","ich mag einen Kakao","phrase","","J'aime un chocolat chaud.","Essen","",""
"2832","je n'aime pas un chocolat chaud","ich mag einen Kakao nicht","phrase","","Je n'aime pas un chocolat chaud.","Essen","",""
"2833","je prends une glace","ich nehme ein Eis","phrase","","Je prends une glace.","Trinken & Gastronomie","",""
"2834","je voudrais une glace","ich hätte gern ein Eis","phrase","","Je voudrais une glace.","Trinken & Gastronomie","",""
"2835","on partage une glace","wir teilen ein Eis","phrase","","On partage une glace.","Trinken & Gastronomie","",""
"2836","tu veux une glace","willst du ein Eis","phrase","","Tu veux une glace.","Trinken & Gastronomie","",""
"2837","j'aime une glace","ich mag ein Eis","phrase","","J'aime une glace.","Essen","",""
"2838","je n'aime pas une glace","ich mag ein Eis nicht","phrase","","Je n'aime pas une glace.","Essen","",""
"2922","je me sens triste","ich fühle mich traurig","phrase","","Je me sens triste quand je suis seul.","Gefühle","",""
"2924","je me sens heureux","ich fühle mich glücklich","phrase","","Je me sens heureux.","Gefühle","",""
"2928","je me sens fatigué","ich fühle mich müde","phrase","","Je me sens fatigué.","Gefühle","",""
"2958","le gel douche","das Duschgel","noun","m","Dans la vie quotidienne, on parle souvent de le gel douche.","Haus & Wohnen","",""
"2966","ouvrir la porte d'entrée","die Haustür öffnen","phrase","","Dans la vie quotidienne, on peut ouvrir la porte d'entrée.","Haus & Wohnen","",""
"2967","fermer la porte d'entrée","die Haustür schließen","phrase","","Dans la vie quotidienne, on peut fermer la porte d'entrée.","Haus & Wohnen","",""
"2972","le stylo rouge","der rote Stift","noun","m","On voit le stylo rouge sur la photo.","Schule","",""
"2973","le stylo bleu","der blaue Stift","noun","m","On voit le stylo bleu sur la photo.","Schule","",""
"2987","ça coûte trop cher","das kostet zu viel","phrase","","Ça coûte trop cher.","Reisen","",""
"2988","le jus de fruits","der Fruchtsaft","noun","m","Aujourd'hui, le repas comprend le jus de fruits.","Trinken & Gastronomie","",""
"2994","le biscuit au chocolat","der Schokokeks","noun","m","Aujourd'hui, le repas comprend le biscuit au chocolat.","Essen","",""
"3030","le cartable","der Schulranzen","noun","m","On voit le cartable sur la photo.","Schule","",""
"3031","la craie","die Kreide","noun","f","On voit la craie sur la photo.","Schule","",""
"3033","le camarade","der Mitschüler","noun","m","Aujourd'hui, le cours porte sur le camarade.","Schule","",""
"3034","la camarade","die Mitschülerin","noun","f","Aujourd'hui, le cours porte sur la camarade.","Schule","",""
"3038","la farine","das Mehl","noun","f","Aujourd'hui, le repas comprend la farine.","Essen","",""
"3039","la bouteille","die Flasche","noun","f","Aujourd'hui, le repas comprend la bouteille.","Trinken & Gastronomie","",""
"3040","la cliente","die Kundin","noun","f","Dans la vie quotidienne, on parle souvent de la cliente.","Meinungen & Kommunikation","",""
"3056","le pluriel","der Plural","noun","m","Aujourd'hui, le cours porte sur le pluriel.","Lernen & Bildung","",""
"3057","le singulier","der Singular","noun","m","Aujourd'hui, le cours porte sur le singulier.","Lernen & Bildung","",""
"3058","le féminin","das Femininum","noun","m","Aujourd'hui, le cours porte sur le féminin.","Lernen & Bildung","",""
"3059","le masculin","das Maskulinum","noun","m","Aujourd'hui, le cours porte sur le masculin.","Lernen & Bildung","",""
"3072","normal","normal","adjective","","C'est normal.","Allgemein","",""
"3086","bien sûr","natürlich","adverb","","L'adverbe ""bien sûr"" revient souvent dans ce type d'enonce.","Meinungen & Kommunikation","",""
"3100","effacer","ausradieren","verb","","En classe, on peut effacer.","Schule","",""
"3105","laver","waschen","verb","","Dans la vie quotidienne, on peut laver.","Haus & Wohnen","",""
"3108","respirer","atmen","verb","","Dans certaines situations, on peut respirer.","Körper & Gesundheit","",""
"3112","la solution","die Lösung","noun","f","Dans la vie quotidienne, on parle souvent de la solution.","Allgemein","",""
"3114","le bruit","das Geräusch","noun","m","Dans la vie quotidienne, on parle souvent de le bruit.","Allgemein","",""
"3115","le plat","das Gericht","noun","m","On voit le plat sur la photo.","Trinken & Gastronomie","",""
"3116","l'addition","die Rechnung","noun","","On voit l'addition sur la photo.","Trinken & Gastronomie","",""
"3117","le village","das Dorf","noun","m","On voit le village sur la photo.","Stadt","",""
"3127","le froid","die Kälte","noun","m","Aujourd'hui, on observe le froid.","Natur","",""
"3214","l'adresse","die Adresse","noun","","Aujourd'hui, le trajet passe par l'adresse.","Stadt","",""
"3221","l'information","die Information","noun","","Aujourd'hui, l'article porte sur l'information.","Medien","",""
"3226","la géographie","die Geografie","noun","f","Aujourd'hui, le cours porte sur la géographie.","Schule","",""
"3293","dehors","draußen","adverb","","L'adverbe ""dehors"" revient souvent dans ce type d'enonce.","Stadt","",""
"3294","dedans","drinnen","adverb","","L'adverbe ""dedans"" revient souvent dans ce type d'enonce.","Haus & Wohnen","",""
"3432","ensemble","zusammen","adverb","","L'adverbe ""ensemble"" revient souvent dans ce type d'enonce.","Familie & Freunde","",""
"4917","avec plaisir","gern","adverb","","L'adverbe ""avec plaisir"" revient souvent dans ce type d'enonce.","Meinungen & Kommunikation","",""
